ترتیب,لغت,معنی,تلفظ,مثال,دسته
194,save,ذخیره کردن / نجات دادن,,,
195,remain,باقی ماندن,,,
196,century,قرن,,,
197,investor,سرمایه گذار,این وِستر,,
198,run,دویدن / فرارکردن,,,
199,native,بومی,,,
200,stare,خیره نگاه کردن (زل زدن),اِستیِر,,
201,interested,علاقه مند,,,
202,visit,ملاقات کردن,,,
203,belong,تعلق داشتن,,,
204,media,رسانه,,,
205,professional,حرفه ای,,,
206,key,کلید,,,
207,physical,فیزیکی / جسمی,,,
208,issue, موضوع / مسله / بیرون آمدن,,,
209,life,زندگی,,,
210,will,خواهست - ارايده / فعل کمکی خواهم,,,
211,explain,توضیح دادن,,,
212,daily,روزانه,,,
213,central,مرکزی,,,
214,simple,ساده,,,
215,american,امریکایی (اهل امریکا),,,
216,speech,گفتار (سخن) / سخنرانی,,,
217,argue,بحث کردن / دلیل آوردن,,,
218,help,کمک کردن,,,
219,fun,شوخی / با صفا,,,
220,metal,فلز,,,
221,grade,رتبه / درجه,,,
222,president,رییس جمهور,,,
223,soil,خاک / کثیف کردن,,,
224,writing,نوشتن,,,
225,responsible,مسئول,,,
226,weather,آب و هوا,,,
227,district,بخش / ناحیه,دیس تی ریکت,,
228,bed,تختخواب,,,
229,likely,احتمالی,,,
230,evidence,دلیل / سند ,اِ وی دِنس,,
231,front,جلو,,,
232,screen,صفحه نمایش,,,
233,household,خانوار,,,
234,test,آزمون / امتحان کردن,,,
235,friend,دوست,,,
236,street,خیابان,,,
237,leave,ترک کردن,,,
238,most,بیشتر,,,
239,rich,پولدار / غنی,,,
240,could,می توانست,,,
241,otherwise,در غیر این صورت,,,
242,slowly,به آرامی,,,
243,bring,آوردن / روی آوردن,بیرینگ,,
244,old,پیر / کهنه / ساله,,,
245,store,فروشگاه,,,
246,mental,روحی / روانی,,,
247,wake,بیدار شدن,,,
248,ready,آماده / آماده کردن,,,
249,planet,سیاره,,,
250,pool,استخر,,,
251,funny,خنده دار / بانمک,,,
252,table,میز / جدول / فهرست,,,
253,actual,واقعی / حقیقی,,,
254,guess,حدس زدن,,,
255,talk,حرف زدن,تاک,,
256,successful,موفق,,,
257,left,چپ / گذشته leave ,,,
258,reaction, واکنش / عکس العمل,,,
259,discussion,بحث,دیس کاشن,,
260,speak,صحبت کردن,,,
261,basis/base,پایه مبنا,,,
262,career,شغل / حرفه,کو رو ری اِر,,
263,gun,اسلحه,,,
264,beach,ساحل,,,
265,confidence,اطمینان / رازگویی,,,
266,ask,خواستن / پرسیدن,,,
267,studio,استودیو,,,
268,regional,منطقه ای,,,
269,aside,به کنار ,,,
270,sure,یقین / مطمن,,,
271,alive,زنده,,,
272,order,سفارش / دستور / ترتیب,,,
273,consumer,مشتری,,,
274,complex,پیچیده / مجتمع,,,
275,birth,تولد,,happy birthday,
276,current,جاری / فعلی / در حال حاضر,,,
277,twice,دوبار / دو برابر,تو آیس,,
278,finally,بالاخره / سر انجام,,,
279,have,داشتن,,,
280,development,توسعه ,,,
281,bit,(مقدار یا تعداد کم ) کمی,,,
282,strike,ضربه زدن,استرآیک,,
283,file,پرونده,,,
284,agent,نماینده / مامور,,,
285,paint,رنگ کردن / نقاشی کردن,,,
286,student,دانشاموز,,,
287,decide,تصمیم گرفتن,,,
288,significant,مهم / معنی دار,سِگ نِ فِ کِت,,
289,easier,اسان تر,,,
290,body ,بدن,,,
291,warn,هشدار دادن,وُرن,,
292,perfect,کامل,,,
293,production,تولید,,,
294,basically,اساسا,بیسیک لی,,
295,condition,شرط,,,
296,where,کجا,,,
297,say,گفتن,,,
298,actor,بازیگر,,,
299,internet,اینترنت,,,
300,clear,پاک / واضح / شفاف,,,
301,brian,مغز,,,
302,minute,دقیقه,,,
303,job,شغل / کار,,,
304,special,ويژه / مخصوص,,,
305,fat,چاغ / چربی,,,
306,literature,ادبیات,لیی دِرِ چِر,,
307,age ,سن / عصر(دوران),,,
308,collection,مجموعه,,,
309,extremely,به شدت,اکستریم لی,,
310,security,امنیت,,,
311,thinking,تفکر,,,
312,university,دانشگاه,,,
313,famous,مشهور,,,
314,heavy,سنگین,,,
315,promise,قول / قول دادن,,,
316,reflect,بازتاب دادن / انعکاس,,reflect = reflex,
317,union,اتحاد / اتصال(پیوند),یو نی اِن,,
318,big,بزرگ,,,
319,summer,تابستان,,,
320,west,غرب,,,
321,depend,وابسته بودن,,,اسم
322,defence,پدافند / دفاع,,,فعل
323,defend,دفاع کردن,,,
324,machine,ماشین,,,
325,christmas,کریسمس,,,
326,why,چرا,,,
327,shot,شلیک / گذشته shoot,شآت,,
328,estate,املاک,,,
329,duty,وظیفه,,,
330,authority,نفوذ,آثو ریتی,,
331,close,بسته شدن,,,
332,ocean,اقیانوس,,,
333,sleep,خوابیدن,,,
334,welcome,خوشامد گفتن / استقبال کردن,,,
335,content,محتوا / گنجایش,,,
336,seed,دانه,,,
337,patient,صبور / بیمار,پی شِنت,,
338,might,امکان داشتن (محتمل) / توانایی (قدرت),مایت,,
339,pretty,بسیار,,,
340,connect,متصل کردن / مربوط کردن,,,
341,winner,برنده,,,
342,even,حتی / زوج (اعداد) / هموار,,,
343,income,درآمد,,,
344,year,سال,,,
345,teaching,آموزش,,,
346,chinese,چینی,,,
347,senior,ارشد / بالاتر (بالا رتبه),,,
348,scale,مقیاس / پولک,,,
349,still,هنوز,,,
350,terrible,وحشتناک / افتضاح (بسیار بد),,,
351,protect,محافت کردن ,,,
352,black,سیاه,,,
353,topic,موضوع / مبحث,,,
354,end,پایان,,,
355,entire,کامل ,,,
356,chief,رییس / سر (پیشرو),چیف,,
357,example,نمونه / مثال,,,
358,prison,زندان,پی ری زِن,,
359,value,ارزش / مقدار / بها (قیمت),,,
360,local,محلی / موضعی,,,
361,stage,صحنه نمایش / مرحله,,,
362,long-term,بلند مدت ,,,
363,short-term,کوتاه مدت,,,
364,look,نگاه کردن,,,
365,prevent,مانع شدن / پیشگیری کردن,,,
366,suppose,خیال کردن / فرض کردن,,,
367,relief,آسودگی (راحتی) / امداد (کمک),رِلیف,,
368,sun,خورشید,,,
369,critical,بحرانی / وخیم / منتقدانه,,,
370,rush,عجله کردن در انجام کار / هجوم بردن,,,
371,code,کد,,,
372,quarter,یک چهارم / ربع,کوآرتر,,
373,firm,استوار (محکم) / شرکت,فِرم,,
374,entirely,سراسر,,,
375,below,پایین,,,
376,theater,تئاتر,,,
377,restaurant,رستوران,,,
378,effect,اثر / جلوه,,,
379,world,جهان,,,
380,steal,دزد,,,
381,mission,ماموریت,,,
382,farmer,کشاور,,,
383,blame,سرزنش کردن / مقصر دانستن,,,
384,pound,واحد وزن,,,
385,nation,ملت,,,
386,return,بازگشتن,,,
387,month,ماه (تاریخ),,,
388,sale,فروش,,,
389,learning,یادگیری,,,
390,component,اجزا,,,
391,chest,قفسه سینه,,,
392,house,خانه,,,
393,married,متاهل,,,
394,realize,درک کردن / تحقق یافتن,,,
395,popular,محبوب,,,
396,reason,دلیل,ری زِن,,
397,stock,موجودی / سهام / سرمایه,,,
398,arrive,وارد شدن / رسیدن,,,
399,perspective,دیدگاه,,,
400,common,مشترک,,,
401,drink,نوشیدن,,,
402,character,کاراکتر,,,
403,together,باهم,,,
404,measure,اندازه / اندازه گرفتن,,,
405,importance,اهمیت ,,,
406,education,تحصیل (آموزش)‌ / تحصیلات,,,
407,then,سپس,,,
408,hero,قهرمان,,,
409,teacher,معلم,,,
410,manage,اداره کردن,,,
411,anywher,هر کجا,,,
412,story,داستان,,,
413,pocket,جیب,پآکِت,,
414,cross,صلیب,,,
415,so ,خوب / این قدر / چنین,,,
416,sell,فروختن,,,
417,response,پاسخ / جوابگویی,,,
418,citizen,تابع / شهروند,,,
419,exist,وجود داشتن,,,
420,idea,ایده / تصور,,,
421,presence,حضور,پرِ زِنس,,
422,express,سریع / اظهار داشتن,,,
423,fan,پنکه / طرفدار,,,
424,senate,مجلس سنا (آمریکا),,,
425,morning,صبح,,,
426,marry,ازدواج کردن,,,
427,desire,میل داشتن (n-v)/ آرزو کردن(n-v),دی زایِر,,
428,active,فعال,,,
429,strong,قوی,,,
430,card,کارت,,,
431,winter,زمستان,,,
432,show,نمایش دادن / نشان دادن,,,
433,comment,نظر / توضیح,,,
434,lift,بلند کردن,,,
435,ahead,پیش / جلو,,,
436,tired,خسته,,,
437,again,دوباره,,,
438,easy,آسان,,,
439,forward,فرستادن / جلو / به جلو,,,
440,easily,به آسانی,,,
441,frame,قاب,,,
442,software,نرم افزار,,,
443,rating,دسته بندی / درجه,,,
444,somewhat,کمی / مقداری,,,
445,fine,خوب,,,
446,waste,هدر دادن / باطل,,,
447,answer,جواب,,,
448,text,متن / نوشته,,,
449,feature,ویژگی,فی چِر,,
450,weapon,سلاح,وِ پِن,,
451,party,مهمانی,,,
452,action,کنش / رفتار,,,
453,rain,باران,,,
454,complain,شکایت کردن,,,
455,yard,واحد اندازه گیری طول,,,
456,handle,رسیدگی,,,
457,question,سوال,,,
458,situation,وضعیت / حالت,,,
459,refer,مراجعه کردن,,,
460,apart,جدا / مجزا,,,
461,back,پشت / عقب,,,
462,disease,بیماری,دِ زیز,,
463,live ,زنده / زدگی کردن,,,
464,old,پیر / قدیمی,,,
465,young,جوان,,,
466,majority,اکثریت,مآ چوری تی ,,
467,garden,باغ / باغچه ,,,
468,landscape,منظره,,,
469,massage,پیام,,,
470,shoot,شلیک کردن,,,
471,trail,به دنبال کشیدن,,,
472,always,همیشه,,,
473,modern,نوین,,,
474,performance,اجرا / کارایی,,,
475,resource,منبع,,,
476,insist,اصرار کردن / سماجت,,,
477,remove,برداشتن / پاک کردن,,,
478,spread,پخش کردن,اسپرد,,
479,perception,درک (اسم),,,
480,option,گزینه / اختیار,,,
481,consider,در نظر گرفتن,,,
482,rare,نادر / کمیاب,,,
483,Imagine,تصور کردن / فرض کردن,,,
484,bus,اتوبوس,,,
485,credit,اعتبار / ابرو,,,
486,prefer,ترجیح دادن,,,
487,worker,گارگر,,,
488,tax,مالیات,,,
489,match,کربریت / مسابقه / تطبیق دادن,,,
490,dangerous,خطرناک,,,
491,holiday,تعطیلات,,,
492,woman,زن,,,
493,forget,فراموش کردن ,,,
494,phone,تلفن,,,
495,lady,بانو (موادبانه خانم),,,
496,perform,انجام دادن,,,
497,school,مدرسه,,,
498,baby,کودک,,,
499,compare,مقایسه کردن,,,
500,ground,زمین,,,
501,word,کلمه / لغت ,,,
502,witness,شاهد / شهادت (نه به شهید),,,
503,army,ارتش / لشگر,آٰر می,,
504,song,آهنگ,,,
505,loss,ضرر ,,,
506,somewhere,در یک محلی / جایی,,,
507,suffer,تحمل کردن / رنج کشیدن,سافِر,,
508,club,باشگاه / انجمن / کلاب,,,
509,variable,تغییر پذیر / متغییر,,,
510,coverage,پوشش,,,
511,should,باید,,,
512,afford,از عهده برآوردن,اِ فورد,,
513,producer,تولید کننده / تهیه کننده,,,
514,thick,کلفت / قطور,سیک,,
515,indicate,نشان دادن/ایجاب داشتن,,,
516,occur,به وقوع پیوستن,اِ کِر,,
517,religious,مذهبی / دینی / روحانی,,,
518,nuclear,هسته ای / اتمی,new clear,,
519,poll,رای گیری / نمومه برداشتن,,,
520,goverrnor,فرماندار / هیت مدیره,گاوِرنِر,,
521,often,اغلب,,,
522,blood,خون,,,
523,quick,سریع,,,
524,opinion,نظر / عقیده,اِ پی تی اِن ,,
525,car,خودرو,,,
526,partner,همکار (شریک) / همسر,,,
527,blue,آبی,,,
528,technique,تکنیک / فن (شگرد),تکنیک,,
529,hour,ساعت (60 دقیقه),آَ ور,,
530,colleague,همکار,کا لیگ,,
531,real,واقعی,,,
532,engage,درگیر کردن ( به کاری گرفتن),این گِیج,,
533,executive,اجرایی / مجری (کارگزار),اِ گزَ کِ تیو ,,
534,expect,منتظر بودن / حامله بودن,,,
535,travel,سفر کردن (v) / سفر (n),,,
536,manager,اداره کننده (مدیر),,,
537,feel,احساس کردن (v) / احساس (n),,,
538,lead,هدایت کردن / رهبری کردن,,,
539,establish,برقرار کردن / تاسیس کردن,,,
540,available,در دسترس (اشیا)/حاضر (اشخاص),,,
541,equal,برابر / مساوی,ایی کوآل,,
542,reveal,آشکار کردن / فاش کردن,ری ویل,,
543,historical,تاریخی,,history,
544,thought,گذشته think,ثات,,
545,league,لیگ,,,
546,sometimes,بعضی اوقات / گاهی,,,
547,identity,هویت,,,
548,identify,شناسایی کردن,,,
549,significantly,به طور چشمگیر / به طور قابل ملاحظه,سِگ نی فی کیت لی,,
550,unique,منحصر به فرد,,,
551,youth,دوران جوانی / جوانی,یو س,,
552,affect,اثر کردن بر,,,
553,time,زمان,,,
554,husband,همسر,,,
555,earth,زمین,,,
556,average,میانگین / معدل / متوسط,,,
557,launch,افتتاح کردن / شروع کردن,,,
558,computer,رایانه,,,
559,kill ,کشتن,,,
560,product,محصول,,,
561,drug,دارو / مواد مخدر,دِراگ,,
562,shake,تکان دادن - تکان,,,
563,careful,مراقبت,,,
564,effort,تلاش / کوشش / تقلا,اِ فرت,,
565,sample,نمونه,,,
566,symbol,نماد,,,
567,them,آنها,,,
568,want, خواستن,,,
569,panel,صفحه / تابلو,,,
570,slip,لیز خوردن / لغزش (اشتباه),,,
571,currently,در حال حاضر,,,
572,set,مجموعه / تنظیم کردن,,,
573,movement,حرکت / جنبش,,,
574,invite,دعوت / دعوت کردن,,,
575,happy,خوش حال / شاد / مبارک,,,
576,seriously,جدا,,,
577,combination,ترکیب,,,
578,post meridiem,PM,,,
579,after morning,AM,,,
580,explore,کاوش کردن,,,
581,desk,میز,,,
582,community,انجمن,,,
583,emotional,احساساتی,اِ مو شنال,,
584,victim,قربانی ,ویک دِم,,
585,ethnic,نژادی,اِث نیک,,
586,survive,زنده ماندن,سِر وآیو,,
587,county,شهرستان,کانتی,,
588,us,ما,,,
589,tool,ابزار,,,
590,correct,درست / صحیح,,,
591,suddenly,ناگهانی,,,
592,pay,پرداحت کردن,,,
593,empty,خالی,,,
594,island,جزیره,آ یلند,,
595,global,سراسری / جهانی ,گِلو باآل,,
596,obvious,اشکار / معلوم,آب ویی یس,,
597,amount,بالغ بر (‌بیشتر از ) / مبلغ,آ مآ اونت,,
598,bill,صورت حساب,,,
599,sweet,شیرین,سوییت,,
600,interesting,جالب,,,
601,agency,نمایندگی / آژانس / سازمان,اِی جِنسی,,
602,propose,پیشنهاد کردن / خواستکاری کردن,پِرو پوز,,
603,window,پنچره,,,
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,,,,,
623,,,,,
624,,,,,
625,,,,,
626,,,,,
627,,,,,
628,,,,,
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,,,,,
653,,,,,
654,,,,,
655,,,,,
656,,,,,
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,,,,,
675,,,,,
676,,,,,
677,,,,,
678,,,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,,,,,
684,,,,,
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,,,,,
702,,,,,
703,,,,,
704,,,,,
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,,,,,
723,,,,,
724,,,,,
725,,,,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,,,,,
832,,,,,
833,,,,,
834,,,,,
835,,,,,
836,,,,,
837,,,,,
838,,,,,
839,,,,,
840,,,,,
841,,,,,
842,,,,,
843,,,,,
844,,,,,
845,,,,,
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,,,,,
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,,,,,
860,,,,,
861,,,,,
862,,,,,
863,,,,,
864,,,,,
865,,,,,
866,,,,,
867,,,,,
868,,,,,
869,,,,,
870,,,,,
871,,,,,
872,,,,,
873,,,,,
874,,,,,
875,,,,,
876,,,,,
877,,,,,
878,,,,,
879,,,,,
880,,,,,
881,,,,,
882,,,,,
883,,,,,
884,,,,,
885,,,,,
886,,,,,
887,,,,,
888,,,,,
889,,,,,
890,,,,,
891,,,,,
892,,,,,
893,,,,,
894,,,,,
895,,,,,
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,,,,,
904,,,,,
905,,,,,
906,,,,,
907,,,,,
908,,,,,
909,,,,,
910,,,,,
911,,,,,
912,,,,,
913,,,,,
914,,,,,
915,,,,,
916,,,,,
917,,,,,
918,,,,,
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,,,,,
928,,,,,
929,,,,,
930,,,,,
931,,,,,
932,,,,,
933,,,,,
934,,,,,
935,,,,,
936,,,,,
937,,,,,
938,,,,,
939,,,,,
940,,,,,
941,,,,,
942,,,,,
943,,,,,
944,,,,,
945,,,,,
946,,,,,
947,,,,,
948,,,,,
949,,,,,
950,,,,,
951,,,,,
952,,,,,
953,,,,,
954,,,,,
955,,,,,
956,,,,,
957,,,,,
958,,,,,
959,,,,,
960,,,,,
961,,,,,
962,,,,,
963,,,,,
964,,,,,
965,,,,,
966,,,,,
967,,,,,
968,,,,,
969,,,,,
970,,,,,
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,,,,,
976,,,,,
977,,,,,
978,,,,,
979,,,,,
980,,,,,
981,,,,,
982,,,,,
983,,,,,
984,,,,,
985,,,,,
986,,,,,
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,,,,,
995,,,,,
996,,,,,
997,,,,,
998,,,,,
999,,,,,
1000,,,,,
1001,,,,,
1002,,,,,
1003,,,,,
1004,,,,,
1005,,,,,
1006,,,,,
1007,,,,,
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,
1017,,,,,
1018,,,,,
1019,,,,,
1020,,,,,
1021,,,,,
1022,,,,,
1023,,,,,
1024,,,,,
1025,,,,,
1026,,,,,
1027,,,,,
1028,,,,,
1029,,,,,
1030,,,,,
1031,,,,,
1032,,,,,
1033,,,,,
1034,,,,,
1035,,,,,
1036,,,,,
1037,,,,,
1038,,,,,
1039,,,,,
1040,,,,,
1041,,,,,
1042,,,,,
1043,,,,,
1044,,,,,
1045,,,,,
1046,,,,,
1047,,,,,
1048,,,,,
1049,,,,,
1050,,,,,
1051,,,,,
1052,,,,,
1053,,,,,
1054,,,,,
1055,,,,,
1056,,,,,
1057,,,,,
1058,,,,,
1059,,,,,
1060,,,,,
1061,,,,,
1062,,,,,
1063,,,,,
1064,,,,,
1065,,,,,
1066,,,,,
1067,,,,,
1068,,,,,
1069,,,,,
1070,,,,,
1071,,,,,
1072,,,,,
1073,,,,,
1074,,,,,
1075,,,,,
1076,,,,,
